count_start_date,count_end_date,count_type,cases_suspect,cases_probable,cases_confirmed,deaths_suspected,deaths_probable,deaths_confirmed,contacts,zone,province,sitrep_source,is_aggregate
22/05/2026,22/05/2026,Nouveaux,32.0,,6,,,1.0,87.0,Bunia,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,,,0,,,0.0,,Butembo,Nord-Kivu,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,,,0,,,0.0,,Goma,Nord-Kivu,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,,,0,,,0.0,,Katwa,Nord-Kivu,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,1.0,,1,,,0.0,,Kilo,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,,,1,,,1.0,,Miti Murhesa,Sud-Kivu,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,10.0,,1,,,0.0,0.0,Mongbwalu,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,1.0,,1,,,0.0,,Nizi,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,9.0,,2,,,0.0,207.0,Nyankunde,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,14.0,,7,,,1.0,0.0,Rwampara,Ituri,MVE_SitRep_008_2026-05-23,FALSE
22/05/2026,22/05/2026,Nouveaux,70.0,0.0,19,,,3.0,342.0,Total,,MVE_SitRep_008_2026-05-23,TRUE
,22/05/2026,Cumules,3.0,,1,,0.0,,0.0,ARU,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,227.0,,23,,42.0,,290.0,Bunia,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,7.0,,2,,0.0,,,Butembo,Nord-Kivu,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,0.0,,6,,0.0,,0.0,Echantillons sans fiche,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,,,1,,0.0,,,Goma,Nord-Kivu,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,13.0,,3,,0.0,,,Katwa,Nord-Kivu,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,6.0,,1,,2.0,,176.0,Kilo,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,1.0,,1,,0.0,,,Miti Murhesa,Sud-Kivu,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,339.0,,10,,88.0,,222.0,Mongbwalu,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,5.0,,2,,1.0,,0.0,Nizi,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,45.0,,9,,8.0,,365.0,Nyankunde,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,221.0,,32,,63.0,,621.0,Rwampara,Ituri,MVE_SitRep_008_2026-05-23,FALSE
,22/05/2026,Cumules,867.0,,91,,204.0,,1674.0,Total,,MVE_SitRep_008_2026-05-23,TRUE
23/05/2026,23/05/2026,Nouveaux,33.0,0.0,9,,,0.0,50.0,,Ituri,MVE_SitRep_009_2026-05-24,TRUE
23/05/2026,23/05/2026,Nouveaux,33.0,0.0,10,,,0.0,50.0,,,MVE_SitRep_009_2026-05-24,TRUE
23/05/2026,23/05/2026,Nouveaux,,0.0,0,,,0.0,,Bambu,Ituri,MVE_SitRep_009_2026-05-24,FALSE
23/05/2026,23/05/2026,Nouveaux,22.0,0.0,0,,,0.0,43.0,Bunia,Ituri,MVE_SitRep_009_2026-05-24,FALSE
23/05/2026,23/05/2026,Nouveaux,,0.0,0,,,0.0,,Butembo,Nord-Kivu,MVE_SitRep_009_2026-05-24,FALSE
23/05/2026,23/05/2026,Nouveaux,,0.0,0,,,0.0,,Goma,Nord-Kivu,MVE_SitRep_009_2026-05-24,FALSE
23/05/2026,23/05/2026,Nouveaux,,0.0,1,,,0.0,,Katwa,Nord-Kivu,MVE_SitRep_009_2026-05-24,FALSE
23/05/2026,23/05/2026,Nouveaux,8.0,0.0,0,,,0.0,,Kilo,Ituri,MVE_SitRep_009_2026-05-24,FALSE
23/05/2026,23/05/2026,Nouveaux,,0.0,0,,,0.0,,Miti Murhesa,Sud-Kivu,MVE_SitRep_009_2026-05-24,FALSE
23/05/2026,23/05/2026,Nouveaux,,0.0,9,,,0.0,0.0,Mongbwalu,Ituri,MVE_SitRep_009_2026-05-24,FALSE
23/05/2026,23/05/2026,Nouveaux,0.0,0.0,0,,,0.0,7.0,Nizi,Ituri,MVE_SitRep_009_2026-05-24,FALSE
23/05/2026,23/05/2026,Nouveaux,,0.0,0,,,0.0,0.0,Nyankunde,Ituri,MVE_SitRep_009_2026-05-24,FALSE
23/05/2026,23/05/2026,Nouveaux,3.0,0.0,0,,,0.0,0.0,Rwampara,Ituri,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,904.0,,101,119.0,,,1817.0,,,MVE_SitRep_009_2026-05-24,TRUE
,23/05/2026,Cumules,4.0,,1,1.0,,,0.0,Aru,Ituri,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,6.0,,0,2.0,,,183.0,Bambu,Ituri,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,249.0,,24,48.0,,,404.0,Bunia,Ituri,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,7.0,,1,0.0,,,,Butembo,Nord-Kivu,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,0.0,,6,0.0,,,0.0,Echantillons sans fiche,Ituri,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,0.0,,1,0.0,,,,Goma,Nord-Kivu,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,13.0,,4,0.0,,,,Katwa,Nord-Kivu,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,6.0,,1,2.0,,,0.0,Kilo,Ituri,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,1.0,,1,0.0,,,,Miti Murhesa,Sud-Kivu,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,339.0,,19,88.0,,,222.0,Mongbwalu,Ituri,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,6.0,,2,2.0,,,22.0,Nizi,Ituri,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,45.0,,9,8.0,,,365.0,Nyankunde,Ituri,MVE_SitRep_009_2026-05-24,FALSE
,23/05/2026,Cumules,228.0,,32,69.0,,,621.0,Rwampara,Ituri,MVE_SitRep_009_2026-05-24,FALSE
24/05/2026,24/05/2026,Nouveaux,2.0,0.0,0,,,0.0,0.0,,Ituri,MVE_SitRep_010_2026-05-25,TRUE
24/05/2026,24/05/2026,Nouveaux,,,0,,,0.0,,Aru,Ituri,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,,,0,,,0.0,0.0,Bunia,Ituri,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,,,2,,,0.0,,Butembo,Nord-Kivu,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,,,0,,,0.0,,Goma,Nord-Kivu,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,,,1,,,0.0,,Kalunguta,Nord-Kivu,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,,,0,,,0.0,,Katwa,Nord-Kivu,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,1.0,,0,,,0.0,,Kilo,Ituri,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,,,0,,,0.0,,Miti Murhesa,Sud-Kivu,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,,,0,,,0.0,0.0,Mongbwalu,Ituri,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,1.0,,0,,,0.0,0.0,Nizi,Ituri,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,,,0,,,0.0,0.0,Nyankunde,Ituri,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,,,1,,,0.0,,Oicha,Nord-Kivu,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,,,0,,,0.0,0.0,Rwampara,Ituri,MVE_SitRep_010_2026-05-25,FALSE
24/05/2026,24/05/2026,Nouveaux,0.0,0.0,4,,,0.0,0.0,Sous total Nord-Kivu/Sud-Kivu,,MVE_SitRep_010_2026-05-25,TRUE
24/05/2026,24/05/2026,Nouveaux,2.0,0.0,4,,,0.0,0.0,Total,,MVE_SitRep_010_2026-05-25,TRUE
,24/05/2026,Cumules,4.0,,1,1.0,,,0.0,Aru,Ituri,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,6.0,,0,2.0,,,183.0,Bambu,Ituri,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,249.0,,24,48.0,,,404.0,Bunia,Ituri,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,7.0,,3,0.0,,,22.0,Butembo,Nord-Kivu,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,0.0,,6,0.0,,,0.0,Echantillons sans fiche,Ituri,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,0.0,,1,0.0,,,28.0,Goma,Nord-Kivu,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,,,1,,,,,Kalunguta,Nord-Kivu,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,0.0,,0,0.0,,,249.0,Karissibi,Nord-Kivu,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,13.0,,4,0.0,,,99.0,Katwa,Nord-Kivu,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,8.0,,1,2.0,,,0.0,Kilo,Ituri,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,0.0,,0,0.0,,,16.0,Kyondo,Nord-Kivu,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,1.0,,1,0.0,,,,Miti Murhesa,Sud-Kivu,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,339.0,,19,88.0,,,222.0,Mongbwalu,Ituri,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,6.0,,2,2.0,,,22.0,Nizi,Ituri,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,45.0,,9,11.0,,,365.0,Nyankunde,Ituri,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,,,1,,,,,Oicha,Nord-Kivu,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,228.0,,32,69.0,,,621.0,Rwampara,Ituri,MVE_SitRep_010_2026-05-25,FALSE
,24/05/2026,Cumules,906.0,,105,223.0,,,2231.0,Total,,MVE_SitRep_010_2026-05-25,TRUE
,25/05/2026,Cumules,4,,1,1,,,0,Aru,Ituri,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,6,,0,2,,,183,Bambu,Ituri,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,270,,24,55,,,404,Bunia,Ituri,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,7,,3,0,,,22,Butembo,Nord-Kivu,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,0,,6,0,,,0,Echantillons sans fiche,Ituri,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,0,,1,0,,,28,Goma,Nord-Kivu,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,0,,1,0,,,0,Kalunguta,Nord-Kivu,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,,,0,0,,,249,Karissibi,Nord-Kivu,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,13,,4,0,,,99,Katwa,Nord-Kivu,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,18,,1,0,,,0,Kilo,Ituri,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,,,1,0,,,16,Kyondo,Nord-Kivu,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,1,,1,0,,,,Miti Murhesa,Sud-Kivu,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,364,,19,88,,,222,Mongbwalu,Ituri,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,9,,2,2,,,22,Nizi,Ituri,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,66,,9,15,,,365,Nyankunde,Ituri,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,,,1,0,,,0,Oicha,Nord-Kivu,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,240,,32,75,,,621,Rwampara,Ituri,MVE_SitRep_011_2026-05-27,FALSE
,25/05/2026,Cumules,998,,106,238,,12,2231,Total,,MVE_SitRep_011_2026-05-27,TRUE
,26/05/2026,Nouveaux,,,16,,,,,,Ituri,MVE_SitRep_012_2026-05-27,TRUE
,26/05/2026,Nouveaux,,,16,,,,,,,MVE_SitRep_012_2026-05-27_v2,TRUE
,26/05/2026,Cumules,1077,,121,238,,17,,,,MVE_SitRep_012_2026-05-27,TRUE
,26/05/2026,Cumules,,,110,,,,,,Ituri,MVE_SitRep_012_2026-05-27_v2,TRUE
,26/05/2026,Cumules,,,10,,,,,,Nord-Kivu,MVE_SitRep_012_2026-05-27_v2,TRUE
,26/05/2026,Cumules,,,1,,,,,,Sud-Kivu,MVE_SitRep_012_2026-05-27_v2,TRUE
,26/05/2026,Cumules,1077,,121,246,,17,,,Total,MVE_SitRep_012_2026-05-27_v2,TRUE
,27/05/2026,Cumules,885,,110,223,,,2225,,Ituri,MVE_SitRep_013_2026-05-28,TRUE
,27/05/2026,Cumules,20,,14,0,,,410,,Nord-Kivu,MVE_SitRep_013_2026-05-28,TRUE
,27/05/2026,Cumules,1,,1,0,,,0,,Sud-Kivu,MVE_SitRep_013_2026-05-28,TRUE
,27/05/2026,Cumules,4,,1,1,,,0,Aru,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,6,,0,2,,,244,Bambu,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,249,,37,48,,,404,Bunia,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,7,,5,0,,,28,Butembo,Nord-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,0,,6,0,,,0,Echantillons sans fiche,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,0,,1,0,,,74,Goma,Nord-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,13,,2,0,,,,Kalunguta,Nord-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,0,,4,0,,,111,Katwa,Nord-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,8,,1,2,,,41,Kilo,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,0,,0,0,,,16,Kyondo,Nord-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,1,,1,0,,,,Miti Murhesa,Sud-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,339,,20,88,,,222,Mongbwalu,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,6,,2,2,,,220,Nizi,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,45,,10,11,,,397,Nyankunde,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,0,,2,0,,,,Oicha,Nord-Kivu,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,228,,33,69,,,697,Rwampara,Ituri,MVE_SitRep_013_2026-05-28,FALSE
,27/05/2026,Cumules,906,,125,223,,17,2635,Total,,MVE_SitRep_013_2026-05-28,TRUE
,28/05/2026,Nouveaux,,,84,,,,,,,MVE_SitRep_014_2026-05-30,TRUE
,28/05/2026,Cumules,349,,210,,,17,,,,MVE_SitRep_014_2026-05-30,TRUE
29/05/2026,29/05/2026,Nouveaux,60,,52,13,,,,,Ituri,MVE_SitRep_015_2026-05-29,TRUE
